"tick","Open Jobs","Done Jobs"
0.0,0.0,0.0
1.0,990.0,11.0
2.0,979.0,22.0
3.0,968.0,33.0
4.0,957.0,44.0
5.0,946.0,55.0
6.0,935.0,66.0
7.0,924.0,77.0
8.0,913.0,88.0
9.0,902.0,99.0
10.0,891.0,110.0
11.0,880.0,121.0
12.0,869.0,132.0
13.0,858.0,143.0
14.0,847.0,154.0
15.0,836.0,165.0
16.0,825.0,176.0
17.0,814.0,187.0
18.0,803.0,198.0
19.0,792.0,209.0
20.0,781.0,220.0
21.0,770.0,231.0
22.0,759.0,242.0
23.0,748.0,253.0
24.0,737.0,264.0
25.0,726.0,275.0
26.0,715.0,286.0
27.0,704.0,297.0
28.0,693.0,308.0
29.0,682.0,319.0
30.0,671.0,330.0
31.0,660.0,341.0
32.0,649.0,352.0
33.0,638.0,363.0
34.0,627.0,374.0
35.0,616.0,385.0
36.0,605.0,396.0
37.0,594.0,407.0
38.0,583.0,418.0
39.0,572.0,429.0
40.0,561.0,440.0
41.0,550.0,451.0
42.0,539.0,462.0
43.0,528.0,473.0
44.0,517.0,484.0
45.0,506.0,495.0
46.0,495.0,506.0
47.0,484.0,517.0
48.0,473.0,528.0
49.0,462.0,539.0
50.0,451.0,550.0
51.0,440.0,561.0
52.0,429.0,572.0
53.0,418.0,583.0
54.0,407.0,594.0
55.0,396.0,605.0
56.0,385.0,616.0
57.0,374.0,627.0
58.0,363.0,638.0
59.0,352.0,649.0
60.0,341.0,660.0
61.0,330.0,671.0
62.0,319.0,682.0
63.0,308.0,693.0
64.0,297.0,704.0
65.0,286.0,715.0
66.0,275.0,726.0
67.0,264.0,737.0
68.0,253.0,748.0
69.0,242.0,759.0
70.0,231.0,770.0
71.0,220.0,781.0
72.0,209.0,792.0
73.0,198.0,803.0
74.0,187.0,814.0
75.0,176.0,825.0
76.0,165.0,836.0
77.0,154.0,847.0
78.0,143.0,858.0
79.0,132.0,869.0
80.0,121.0,880.0
81.0,110.0,891.0
82.0,99.0,902.0
83.0,88.0,913.0
84.0,77.0,924.0
85.0,66.0,935.0
86.0,55.0,946.0
87.0,44.0,957.0
88.0,33.0,968.0
89.0,22.0,979.0
90.0,11.0,990.0
91.0,0.0,1001.0
92.0,0.0,1001.0
